Transcript,Transcript
TRINITY_DN10109_c0_g2_i1,TRINITY_DN10109_c0_g2_i1
TRINITY_DN1010_c0_g1_i3,TRINITY_DN1010_c0_g1_i3
TRINITY_DN1010_c1_g1_i2,TRINITY_DN1010_c1_g1_i2
TRINITY_DN10110_c0_g1_i11,TRINITY_DN10110_c0_g1_i11
TRINITY_DN10110_c0_g2_i12,TRINITY_DN10110_c0_g2_i12
TRINITY_DN10111_c0_g1_i4,TRINITY_DN10111_c0_g1_i4
TRINITY_DN101120_c0_g1_i2,TRINITY_DN101120_c0_g1_i2
TRINITY_DN10114_c0_g1_i1,TRINITY_DN10114_c0_g1_i1
TRINITY_DN10114_c2_g2_i8,TRINITY_DN10114_c2_g2_i8
TRINITY_DN10114_c4_g1_i9,TRINITY_DN10114_c4_g1_i9
TRINITY_DN101151_c0_g1_i1,TRINITY_DN101151_c0_g1_i1
TRINITY_DN10115_c0_g1_i1,TRINITY_DN10115_c0_g1_i1
TRINITY_DN10116_c1_g1_i1,TRINITY_DN10116_c1_g1_i1
TRINITY_DN10117_c0_g1_i1,TRINITY_DN10117_c0_g1_i1
TRINITY_DN10118_c0_g1_i2,TRINITY_DN10118_c0_g1_i2
TRINITY_DN101192_c0_g1_i1,TRINITY_DN101192_c0_g1_i1
TRINITY_DN10119_c0_g1_i1,TRINITY_DN10119_c0_g1_i1
TRINITY_DN1011_c0_g1_i1,TRINITY_DN1011_c0_g1_i1
TRINITY_DN1011_c1_g1_i4,TRINITY_DN1011_c1_g1_i4
TRINITY_DN1011_c2_g2_i9,TRINITY_DN1011_c2_g2_i9
TRINITY_DN1011_c3_g1_i8,TRINITY_DN1011_c3_g1_i8
TRINITY_DN101209_c0_g1_i1,TRINITY_DN101209_c0_g1_i1
TRINITY_DN101209_c1_g1_i1,TRINITY_DN101209_c1_g1_i1
TRINITY_DN10120_c0_g1_i4,TRINITY_DN10120_c0_g1_i4
TRINITY_DN10120_c1_g1_i5,TRINITY_DN10120_c1_g1_i5
TRINITY_DN10121_c0_g1_i2,TRINITY_DN10121_c0_g1_i2
TRINITY_DN10124_c0_g1_i3,TRINITY_DN10124_c0_g1_i3
TRINITY_DN10124_c0_g2_i1,TRINITY_DN10124_c0_g2_i1
TRINITY_DN10125_c0_g1_i14,TRINITY_DN10125_c0_g1_i14
TRINITY_DN10126_c0_g1_i4,TRINITY_DN10126_c0_g1_i4
TRINITY_DN10126_c2_g1_i1,TRINITY_DN10126_c2_g1_i1
TRINITY_DN101272_c0_g2_i1,TRINITY_DN101272_c0_g2_i1
TRINITY_DN10127_c0_g1_i1,TRINITY_DN10127_c0_g1_i1
TRINITY_DN101284_c0_g1_i2,TRINITY_DN101284_c0_g1_i2
TRINITY_DN101284_c0_g2_i2,TRINITY_DN101284_c0_g2_i2
TRINITY_DN101292_c0_g1_i2,TRINITY_DN101292_c0_g1_i2
TRINITY_DN101294_c0_g1_i2,TRINITY_DN101294_c0_g1_i2
TRINITY_DN101308_c0_g1_i1,TRINITY_DN101308_c0_g1_i1
TRINITY_DN10130_c0_g1_i1,TRINITY_DN10130_c0_g1_i1
