comp101211_c0_seq1,comp101211_c0_seq1
comp101226_c0_seq1,comp101226_c0_seq1
comp101238_c0_seq1,comp101238_c0_seq1
comp101246_c0_seq1,comp101246_c0_seq1
comp101277_c0_seq1,comp101277_c0_seq1
comp101282_c0_seq1,comp101282_c0_seq1
comp101288_c0_seq2,comp101288_c0_seq2
comp101288_c0_seq3,comp101288_c0_seq3
comp101291_c0_seq1,comp101291_c0_seq1
comp101296_c0_seq1,comp101296_c0_seq1
comp101299_c0_seq2,comp101299_c0_seq2
comp101302_c0_seq1,comp101302_c0_seq1
comp101312_c0_seq1,comp101312_c0_seq1
comp101337_c0_seq2,comp101337_c0_seq2
comp101339_c0_seq2,comp101339_c0_seq2
comp101341_c0_seq1,comp101341_c0_seq1
comp101344_c0_seq2,comp101344_c0_seq2
comp101348_c0_seq1,comp101348_c0_seq1
comp101353_c0_seq1,comp101353_c0_seq1
comp101370_c0_seq2,comp101370_c0_seq2
comp101370_c0_seq3,comp101370_c0_seq3
comp101379_c0_seq1,comp101379_c0_seq1
comp101401_c0_seq2,comp101401_c0_seq2
comp101423_c0_seq1,comp101423_c0_seq1
comp101424_c0_seq1,comp101424_c0_seq1
comp101426_c0_seq2,comp101426_c0_seq2
comp101427_c0_seq1,comp101427_c0_seq1
comp101435_c0_seq1,comp101435_c0_seq1
comp101445_c0_seq1,comp101445_c0_seq1
comp101449_c0_seq1,comp101449_c0_seq1
comp101457_c0_seq1,comp101457_c0_seq1
comp10146_c0_seq1,comp10146_c0_seq1
comp101470_c0_seq1,comp101470_c0_seq1
comp101474_c0_seq1,comp101474_c0_seq1
comp101491_c0_seq1,comp101491_c0_seq1
comp101531_c0_seq1,comp101531_c0_seq1
comp101534_c0_seq2,comp101534_c0_seq2
comp101546_c0_seq1,comp101546_c0_seq1
comp101546_c0_seq2,comp101546_c0_seq2
comp101562_c0_seq1,comp101562_c0_seq1
comp101567_c0_seq1,comp101567_c0_seq1
comp101595_c0_seq1,comp101595_c0_seq1
comp101598_c0_seq1,comp101598_c0_seq1
comp101603_c0_seq1,comp101603_c0_seq1
comp101614_c0_seq1,comp101614_c0_seq1
comp101628_c1_seq1,comp101628_c1_seq1
comp101655_c0_seq2,comp101655_c0_seq2
comp101684_c0_seq1,comp101684_c0_seq1
